op_id_full,anio,mode,categoria_canon,amount_usd,real_usd,pred_usd,error_usd,error_pct
22020HPER,2022,SEA,SUSTRATOS,31595.0,1704.0,2409.7,705.7,41.4
23081HPER,2023,SEA,AGROQUIMICOS,8074.0,685.0,966.7,281.7,41.1
22024HPER,2022,AIR,PLANTAS,375180.0,3968.5,5591.8,1623.3,40.9
21256HPER,2021,SEA,SUSTRATOS,50883.0336,5936.6,8355.0,2418.4,40.7
21063HPER,2021,SEA,EMPAQUE,50847.76,8652.0,12167.5,3515.5,40.6
24221HPER,2024,SEA,SUSTRATOS,44397.149999999994,7273.0,10221.7,2948.7,40.5
24155HPER,2024,AIR,REPUESTOS,260.92,146.0,205.2,59.2,40.5
25151HPER,2025,SEA,SUSTRATOS,73986.0,11663.0,16373.3,4710.3,40.4
23098HPER,2023,AIR,PLANTAS,218401.95,6753.4,4040.7,-2712.7,40.2
21188HPER,2021,SEA,SUSTRATOS,21452.0,2503.9,3499.6,995.7,39.8
20035HTAL,2020,AIR,EQUIPOS_INSTR,10402.94,536.3,748.9,212.6,39.6
20123HPER,2020,SEA,AGROQUIMICOS,25410.0,1051.2,1467.6,416.4,39.6
20024BERR,2020,SEA,AGROQUIMICOS,12310.0,2629.5,1587.4,-1042.1,39.6
25028HPER,2025,AIR,REPUESTOS,42035.229999999996,1380.8,1927.0,546.2,39.6
21259HPER,2021,AIR,EQUIPOS_INSTR,7544.0,359.2,217.4,-141.8,39.5
22021HPER,2022,SEA,SUSTRATOS,31595.0,1728.4,2409.7,681.3,39.4
20018HTAL,2020,SEA,SUSTRATOS,21000.0,1500.6,2088.2,587.6,39.2
21102HPER,2021,AIR,REPUESTOS,9172.08,1165.6,1620.3,454.7,39.0
25179HPER,2025,AIR,REPUESTOS,5504.79,910.4,1261.9,351.5,38.6
23125HPER,2023,AIR,REPUESTOS,44555.08,1432.0,1983.6,551.6,38.5
24091HPER,2024,SEA,EMPAQUE,48908.740000000005,7273.6,10059.2,2785.6,38.3
20011HTAL,2020,AIR,PLANTAS,33372.0,1042.1,1439.7,397.6,38.2
21045HPER,2021,SEA,MAQUINARIA,350000.0,3555.5,4905.8,1350.3,38.0
23144HPER,2023,SEA,AGROQUIMICOS,47752.32,3887.8,5359.7,1471.9,37.9
20060HPER,2020,AIR,EMPAQUE,1050.0,762.6,1050.6,288.0,37.8
20053HTAL,2020,AIR,PLANTAS,13388.68,1625.7,1017.1,-608.6,37.4
22070HPER,2022,SEA,MAQUINARIA,225250.0,4758.0,6535.8,1777.8,37.4
20121HTAL,2020,AIR,REPUESTOS,14260.0,730.3,1002.0,271.7,37.2
21003HTAL,2021,SEA,SUSTRATOS,9849.6,1741.2,2388.6,647.4,37.2
21086HPER,2021,AIR,EMPAQUE,5367.86,2585.2,3546.5,961.3,37.2
22232HPER,2022,AIR,REPUESTOS,2951.59,312.1,428.2,116.1,37.2
21263HPER,2021,SEA,AGROQUIMICOS,31104.000000000004,18317.7,11532.6,-6785.1,37.0
20125HPER,2020,SEA,AGROQUIMICOS,17811.22,864.6,1181.6,317.0,36.7
22030HPER,2022,AIR,PLANTAS,254800.0,3034.9,4144.9,1110.0,36.6
22263HPER,2022,SEA,EMPAQUE,40706.21,5399.0,7373.0,1974.0,36.6
22040HPER,2022,SEA,SUSTRATOS,75393.0,5898.9,8059.7,2160.8,36.6
21159HPER,2021,AIR,PLANTAS,452263.0,3697.2,5041.9,1344.7,36.4
24229HPER,2024,SEA,EQUIPOS_INSTR,622550.5599999999,8435.8,11498.9,3063.1,36.3
21120HPER,2021,SEA,SUSTRATOS,13832.207999999999,56471.6,36111.3,-20360.3,36.1
22014HPER,2022,SEA,SUSTRATOS,10697.57,2028.1,2759.1,731.0,36.0
21096HPER,2021,SEA,AGROQUIMICOS,27972.000000000004,2723.3,3705.0,981.7,36.0
25149HPER,2025,SEA,SUSTRATOS,59188.8,9259.9,12596.9,3337.0,36.0
25184HPER,2025,AIR,EQUIPOS_INSTR,232.0,168.5,228.9,60.4,35.8
24072HPER,2024,SEA,AGROQUIMICOS,56977.8,2856.8,3875.3,1018.5,35.7
25081HPER,2025,AIR,REPUESTOS,33399.31,1807.4,2451.4,644.0,35.6
23019HPER,2023,SEA,SUSTRATOS,14405.6,2460.4,3333.9,873.5,35.5
20022HPER,2020,SEA,AGROQUIMICOS,132990.0,1366.7,1851.2,484.5,35.5
23008HPER,2023,SEA,AGROQUIMICOS,86680.0,3986.4,5391.9,1405.5,35.3
23138HPER,2023,AIR,PLANTAS,1004250.0,27464.4,17766.2,-9698.2,35.3
22033HPER,2022,SEA,SUSTRATOS,34550.2,4072.5,5504.6,1432.1,35.2
21073HPER,2021,SEA,EMPAQUE,43808.69,2203.9,2978.5,774.6,35.1
21268HPER,2021,SEA,SUSTRATOS,50883.0336,6513.8,8792.2,2278.4,35.0
23173HPER,2023,AIR,REPUESTOS,660.0,106.6,143.9,37.3,34.9
24115HPER,2024,AIR,EMPAQUE,40.0,1752.7,1140.7,-612.0,34.9
21101HPER,2021,SEA,EMPAQUE,43808.69,2191.9,2956.5,764.6,34.9
24080HPER,2024,SEA,EMPAQUE,20296.98,3336.2,4497.4,1161.2,34.8
25148HPER,2025,SEA,SUSTRATOS,73986.0,26566.5,17334.7,-9231.8,34.7
25085HPER,2025,AIR,MAQUINARIA,82600.0,436.8,586.8,150.0,34.3
21213HPER,2021,SEA,SUSTRATOS,88266.0,6734.3,9020.8,2286.5,34.0
24167HPER,2024,SEA,EMPAQUE,51068.16,4480.0,6000.0,1520.0,33.9
25032HPER,2025,SEA,MAQUINARIA,56390.64,4121.8,5511.1,1389.2,33.7
23025HPER,2023,SEA,SUSTRATOS,60528.0,9216.8,12318.0,3101.2,33.6
25086HPER,2025,AIR,REPUESTOS,11946.0,1138.3,1520.0,381.7,33.5
24112HPER,2024,SEA,AGROQUIMICOS,25540.9,1968.3,2623.3,655.0,33.3
22090HPER,2022,AIR,REPUESTOS,2620.0,286.5,381.8,95.3,33.3
20058HPER,2020,SEA,AGROQUIMICOS,37615.19,1302.2,1733.9,431.7,33.1
20059HTAL,2020,SEA,AGROQUIMICOS,18222.25,1045.9,1391.0,345.1,33.0
21217HPER,2021,LAND,EMPAQUE,24907.5,8366.4,5615.2,-2751.2,32.9
20079HPER,2020,AIR,PLANTAS,490800.0,4100.5,5447.9,1347.4,32.9
24106HPER,2024,AIR,PLANTAS,539760.0,9302.7,12361.1,3058.4,32.9
20063HTAL,2020,AIR,PLANTAS,2905.75,1617.3,1086.4,-530.9,32.8
21161HPER,2021,SEA,SUSTRATOS,42904.0,4440.4,5898.6,1458.2,32.8
21076HPER,2021,SEA,MAQUINARIA,354053.0,3070.8,4077.1,1006.3,32.8
20096HTAL,2020,SEA,AGROQUIMICOS,51800.0,1004.0,1331.6,327.6,32.6
21173HPER,2021,SEA,AGROQUIMICOS,33266.16,4820.5,6391.4,1570.9,32.6
25180HPER,2025,AIR,REPUESTOS,205.0,818.8,1085.9,267.1,32.6
25030HPER,2025,SEA,AGROQUIMICOS,51610.37,4831.0,6401.7,1570.7,32.5
20129HTAL,2020,SEA,SUSTRATOS,43340.0,17031.3,22570.0,5538.7,32.5
24147HPER,2024,SEA,SUSTRATOS,35706.0,7073.4,9362.5,2289.1,32.4
24146HPER,2024,SEA,SUSTRATOS,35706.0,7073.4,9362.5,2289.1,32.4
24085HPER,2024,SEA,EMPAQUE,25410.239999999998,3647.8,4828.6,1180.8,32.4
25141HPER,2025,SEA,SUSTRATOS,73986.0,12409.7,16404.8,3995.1,32.2
21051HPER,2021,AIR,MUESTRAS,1.0,130.7,89.1,-41.6,31.8
24212HPER,2024,LAND,EMPAQUE,15033.6,8377.3,11031.6,2654.3,31.7
22273HPER,2022,AIR,EQUIPOS_INSTR,1994.0,293.6,386.4,92.8,31.6
22279HPER,2022,AIR,EQUIPOS_INSTR,26120.65,1015.2,1336.5,321.2,31.6
23137HPER,2023,AIR,PLANTAS,3482700.0,6703.5,8817.3,2113.8,31.5
25077HPER,2025,AIR,EMPAQUE,79669.15,5660.6,7432.9,1772.3,31.3
21162HPER,2021,SEA,SUSTRATOS,64356.0,7826.5,10273.7,2447.2,31.3
21267HPER,2021,SEA,SUSTRATOS,10503.0648,2063.6,2704.5,640.8,31.1
25187HPER,2025,AIR,EMPAQUE,424.8,1427.8,985.2,-442.6,31.0
21044HPER,2021,AIR,REPUESTOS,8603.658000000001,2135.8,1472.9,-662.9,31.0
22041HPER,2022,SEA,SUSTRATOS,25131.0,2096.5,2743.0,646.5,30.8
24001HPER,2024,AIR,REPUESTOS,7450.0,240.0,313.5,73.5,30.6
21265HPER,2021,SEA,SUSTRATOS,21006.1296,4098.9,5349.3,1250.4,30.5
23034HPER,2023,AIR,SUSTRATOS,28.0,90.4,62.9,-27.5,30.4
23133HPER,2023,AIR,PLANTAS,608400.0,6501.0,8466.6,1965.6,30.2
22042HPER,2022,AIR,PLANTAS,174200.0,3032.4,3945.9,913.5,30.1
23077HPER,2023,AIR,REPUESTOS,5948.93,879.6,1143.7,264.1,30.0
23022HPER,2023,SEA,SUSTRATOS,45396.0,7063.9,9175.2,2111.3,29.9
21013HTAL,2021,SEA,SUSTRATOS,140421.6,3507.0,4552.3,1045.3,29.8
25186HPER,2025,SEA,SUSTRATOS,89704.0,7123.4,9236.4,2113.0,29.7
25153HPER,2025,SEA,SUSTRATOS,59188.8,9346.7,12117.8,2771.1,29.6
25109HPER,2025,AIR,REPUESTOS,371.17,325.5,229.0,-96.5,29.6
20093HTAL,2020,AIR,EQUIPOS_INSTR,8700.0,3473.1,2445.4,-1027.7,29.6
24022HPER,2024,AIR,PLANTAS,600.0,910.5,1178.9,268.4,29.5
22102HPER,2022,SEA,EMPAQUE,19436.33,10084.7,7114.0,-2970.7,29.5
21002HTAL,2021,SEA,SUSTRATOS,374457.60000000003,26383.7,18616.7,-7767.0,29.4
20082HPER,2020,AIR,PLANTAS,403240.1,3519.7,4556.1,1036.4,29.4
21135HPER,2021,SEA,EMPAQUE,27035.9,4978.5,6443.5,1465.0,29.4
21010HTAL,2021,SEA,SUSTRATOS,8920.044,6306.1,8162.5,1856.4,29.4
24107HPER,2024,AIR,REPUESTOS,3004.0199999999995,446.2,316.1,-130.1,29.2
20055HPER,2020,SEA,EMPAQUE,146160.0,2798.8,3613.0,814.2,29.1
21177HPER,2021,AIR,REPUESTOS,1496.62,176.1,227.3,51.2,29.0
25159HPER,2025,SEA,SUSTRATOS,73986.0,12264.9,15827.5,3562.6,29.0
24156HPER,2024,AIR,EMPAQUE,3454.0,268.5,346.3,77.8,29.0
25095HPER,2025,SEA,EMPAQUE,22680.0,8733.6,11249.7,2516.1,28.8
21214HPER,2021,SEA,SUSTRATOS,62842.0,4897.5,6308.7,1411.2,28.8
23015HPER,2023,AIR,PLANTAS,74148.75,2036.6,2620.1,583.5,28.7
23172HPER,2023,AIR,EQUIPOS_INSTR,44440.0,2155.3,1539.7,-615.6,28.6
23021HPER,2023,SEA,SUSTRATOS,30264.0,4658.5,5986.4,1327.9,28.5
23024HPER,2023,SEA,SUSTRATOS,60528.0,9041.0,11614.1,2573.1,28.5
22016HPER,2022,AIR,PLANTAS,10003.95,7663.7,5476.4,-2187.3,28.5
20074HTAL,2020,AIR,REPUESTOS,12976.25,240.0,171.8,-68.2,28.4
20047HPER,2020,AIR,PLANTAS,381000.0,3269.9,4192.6,922.7,28.2
21075HPER,2021,SEA,SUSTRATOS,26280.288,6448.2,8258.2,1810.0,28.1
25145HPER,2025,SEA,EMPAQUE,16182.0,4118.6,5276.7,1158.1,28.1
21104HPER,2021,AIR,MUESTRAS,1.0,356.1,255.9,-100.2,28.1
20043HTAL,2020,AIR,REPUESTOS,1778.5,88.0,112.6,24.6,28.0
20031HPER,2020,SEA,AGROQUIMICOS,20062.5,1136.1,1453.5,317.4,27.9
25059HPER,2025,SEA,EMPAQUE,16182.0,4129.0,5276.7,1147.7,27.8
22166HPER,2022,SEA,SUSTRATOS,55400.0,4201.7,5361.6,1159.9,27.6
21006HTAL,2021,SEA,EMPAQUE,13217.472000000002,2140.2,2730.7,590.5,27.6
24122HPER,2024,LAND,EMPAQUE,39716.25,18299.8,13255.4,-5044.4,27.6
22216HPER,2022,SEA,SUSTRATOS,56040.0,9137.9,6624.8,-2513.1,27.5
23016HPER,2023,AIR,EQUIPOS_INSTR,786.8,555.2,706.8,151.6,27.3
25146HPER,2025,AIR,REPUESTOS,7584.04,1074.8,1367.8,293.0,27.3
23058HPER,2023,AIR,REPUESTOS,4102.63,1054.5,1342.0,287.5,27.3
21115HPER,2021,AIR,EMPAQUE,41993.6,15477.2,19701.0,4223.8,27.3
20045HPER,2020,AIR,PLANTAS,335000.0,2697.6,3431.6,734.0,27.2
22017HPER,2022,AIR,PLANTAS,405600.0,12246.1,8911.9,-3334.2,27.2
23167HPER,2023,AIR,PLANTAS,47287.5,2127.2,2706.5,579.3,27.2
22274HPER,2022,AIR,EQUIPOS_INSTR,1960.0,1375.6,1002.8,-372.8,27.1
23069HPER,2023,SEA,EMPAQUE,236250.0,5592.2,7108.7,1516.5,27.1
21253HPER,2021,SEA,SUSTRATOS,21006.1296,4198.4,5330.3,1131.9,27.0
22032HPER,2022,AIR,EQUIPOS_INSTR,5854.2,240.0,175.1,-64.9,27.0
23156HPER,2023,AIR,REPUESTOS,1185.0,130.2,165.3,35.1,27.0
20029HPER,2020,SEA,AGROQUIMICOS,8142.15,912.6,1159.3,246.7,27.0
20006HPER,2020,SEA,EMPAQUE,1680.0,2923.7,3709.5,785.8,26.9
24024HPER,2024,AIR,REPUESTOS,9385.0,939.1,1190.7,251.6,26.8
22007HPER,2022,SEA,SUSTRATOS,94785.0,6310.9,8003.0,1692.1,26.8
24102HPER,2024,AIR,PLANTAS,304200.0,5879.2,7455.5,1576.3,26.8
25121HPER,2025,SEA,SUSTRATOS,74614.6,9953.9,12607.1,2653.2,26.7
25172HPER,2025,AIR,REPUESTOS,2973.0,793.5,1005.2,211.7,26.7
25158HPER,2025,SEA,SUSTRATOS,73986.0,12504.7,15827.5,3322.8,26.6
21098HPER,2021,SEA,EMPAQUE,112691.72,19942.5,25233.7,5291.2,26.5
23020HPER,2023,AIR,REPUESTOS,15053.0,1133.5,1432.6,299.1,26.4
24132HPER,2024,SEA,SUSTRATOS,35706.0,7543.4,9527.8,1984.4,26.3
21128HPER,2021,AIR,REPUESTOS,6690.0,1147.7,1449.8,302.1,26.3
20113HPER,2020,AIR,REPUESTOS,19651.0,1565.8,1975.5,409.7,26.2
25140HPER,2025,SEA,SUSTRATOS,59188.8,9789.9,12338.1,2548.2,26.0
24055HPER,2024,SEA,AGROQUIMICOS,81400.0,4989.0,6285.7,1296.7,26.0
21143HPER,2021,SEA,AGROQUIMICOS,37843.200000000004,3125.4,3933.4,808.0,25.9
22003HPER,2022,AIR,REPUESTOS,2764.13,591.8,438.8,-153.0,25.9
21136HPER,2021,SEA,AGROQUIMICOS,33266.16,5051.3,6358.6,1307.3,25.9
21248HPER,2021,SEA,SUSTRATOS,30680.0,36877.8,46396.8,9519.0,25.8
24070HPER,2024,AIR,PLANTAS,195000.0,2678.6,3369.1,690.5,25.8
23105HPER,2023,SEA,SUSTRATOS,17173.28,4770.3,6001.8,1231.5,25.8
21018HTAL,2021,AIR,REPUESTOS,20945.26,1321.6,1661.6,340.0,25.7
24062HPER,2024,AIR,REPUESTOS,14609.0,1085.2,1364.4,279.2,25.7
22218HPER,2022,SEA,SUSTRATOS,67280.0,9164.2,11514.8,2350.6,25.6
21040HPER,2021,AIR,REPUESTOS,19027.0512,1362.6,1711.0,348.4,25.6
21138HPER,2021,SEA,AGROQUIMICOS,232200.0,15111.5,11279.7,-3831.8,25.4
21171HPER,2021,AIR,PLANTAS,580273.6,5205.2,6518.6,1313.4,25.2
24075HPER,2024,AIR,REPUESTOS,4192.34,947.5,1186.5,239.0,25.2
21203HPER,2021,SEA,SUSTRATOS,96285.0,5863.3,7337.0,1473.7,25.1
22255HPER,2022,AIR,EQUIPOS_INSTR,25272.0,1109.5,831.0,-278.5,25.1
22037HPER,2022,AIR,EMPAQUE,1586.3,4053.6,3036.0,-1017.6,25.1
23047HPER,2023,SEA,AGROQUIMICOS,35475.0,1749.4,2187.2,437.8,25.0
22022HPER,2022,SEA,SUSTRATOS,63190.0,3644.0,4545.7,901.7,24.7
25018HPER,2025,SEA,SUSTRATOS,61708.7,12636.1,15758.4,3122.3,24.7
22193HPER,2022,SEA,EMPAQUE,18295.2,7837.4,9762.0,1924.6,24.6
21140HPER,2021,SEA,EMPAQUE,28399.9,5251.7,6543.9,1292.2,24.6
24144HPER,2024,SEA,SUSTRATOS,35706.0,7520.4,9362.5,1842.1,24.5
21266HPER,2021,SEA,SUSTRATOS,21006.1296,4682.6,5831.2,1148.6,24.5
21237HPER,2021,SEA,SUSTRATOS,94785.0,6533.0,8130.5,1597.5,24.5
24236HPER,2024,SEA,AGROQUIMICOS,196992.0,5705.1,7096.9,1391.8,24.4
20027HTAL,2020,AIR,PLANTAS,254000.0,2092.8,2603.4,510.6,24.4
20021HPER,2020,AIR,OTROS,50.0,117.0,88.5,-28.5,24.4
25037HPER,2025,AIR,EQUIPOS_INSTR,123.52,159.9,198.8,38.9,24.3
22026HPER,2022,SEA,SUSTRATOS,94785.0,6594.5,8189.1,1594.6,24.2
21029HPER,2021,SEA,REPUESTOS,15990.0,3925.1,4869.9,944.8,24.1
25161HPER,2025,SEA,SUSTRATOS,73986.0,13517.4,16779.3,3261.9,24.1
22072HPER,2022,SEA,MAQUINARIA,207250.0,5207.4,6460.8,1253.4,24.1
23002HPER,2023,AIR,PLANTAS,44.0,2816.7,2141.8,-674.9,24.0
24103HPER,2024,AIR,REPUESTOS,23832.03,1394.1,1727.9,333.8,23.9
25047HPER,2025,AIR,REPUESTOS,13051.78,1027.4,1272.9,245.5,23.9
24134HPER,2024,SEA,SUSTRATOS,35706.0,7703.4,9527.8,1824.4,23.7
21144HPER,2021,AIR,REPUESTOS,2210.0,346.9,428.5,81.6,23.5
21247HPER,2021,SEA,SUSTRATOS,30680.0,37564.3,46396.8,8832.5,23.5
24148HPER,2024,SEA,SUSTRATOS,35706.0,13084.0,10017.7,-3066.2,23.4
24157HPER,2024,AIR,EQUIPOS_INSTR,248136.0,11028.6,8442.4,-2586.2,23.4
24088HPER,2024,SEA,AGROQUIMICOS,18992.6,1307.1,1612.3,305.2,23.4
20109HPER,2020,AIR,PLANTAS,108000.0,2048.3,2528.4,480.1,23.4
23114HPER,2023,,SUSTRATOS,9649.91,1801.4,1381.4,-420.0,23.3
23147HPER,2023,AIR,REPUESTOS,2310.27,842.4,1038.5,196.1,23.3
24069HPER,2024,SEA,AGROQUIMICOS,16500.0,5531.8,6818.6,1286.9,23.3
25094HPER,2025,SEA,EMPAQUE,34020.0,14035.8,17307.5,3271.7,23.3
24230HPER,2024,SEA,SUSTRATOS,14430.17,2433.0,2996.1,563.2,23.1
22106HPER,2022,SEA,EMPAQUE,40706.21,6456.5,7947.6,1491.1,23.1
23121HPER,2023,AIR,EQUIPOS_INSTR,3932.08,1131.4,1393.1,261.7,23.1
20009HPER,2020,SEA,EMPAQUE,1680.0,2974.5,3658.1,683.6,23.0
21198HPER,2021,SEA,SUSTRATOS,64356.0,7617.4,9367.7,1750.3,23.0
